case_number,source_group_number,scenario,phase,arm,status,decision_correct,evidence_correct,exact_correct,direct,e2e_s,jev_s,codex_s,confidence,codex_input_tokens,codex_cached_tokens,codex_output_tokens,jev_input_tokens,jev_output_tokens
43,16,crash,repeat,B,ok,1,1,1,0,0.9990009170142002,0.9972719999495894,0,0.99,0,0,0,1035,158
43,16,crash,repeat,C,ok,1,1,1,1,1.0976062910049222,1.0965631669969298,0,0.99,0,0,0,1035,158
44,17,crash,repeat,A,ok,1,1,1,0,9.511134458996821,0,9.509232458018232,,25482,21760,23,0,0
44,17,crash,repeat,B,ok,1,1,1,0,0.8899979590205476,0.8890005419962108,0,0.99,0,0,0,1000,157
44,17,crash,repeat,C,ok,1,1,1,1,1.0776405830401927,1.076707583037205,0,0.99,0,0,0,1000,157
44,17,crash,repeat,A,ok,1,1,1,0,8.2666607919964,0,8.264379500003997,,25482,0,23,0,0
44,17,crash,repeat,B,error,0,0,0,0,0.7443344999919645,0.7437158340471797,0,0.0,0,0,0,,
44,17,crash,repeat,C,ok,1,1,1,0,10.46367879101308,1.2348904579994269,9.226236290996894,0.0,25512,0,23,,
45,18,rn,repeat,A,ok,1,1,1,0,16.161324249987956,0,16.158409084018786,,25305,21760,22,0,0
45,18,rn,repeat,B,ok,1,1,1,0,1.2116994999814779,1.2106331250397488,0,0.7,0,0,0,872,143
45,18,rn,repeat,C,ok,1,1,1,1,1.4546905839815736,1.4536292080301791,0,0.63,0,0,0,872,143
45,18,rn,repeat,A,ok,1,1,1,0,7.932585500006098,0,7.930273792007938,,25305,21760,22,0,0
45,18,rn,repeat,B,ok,1,1,1,0,0.9103920829948038,0.9093152079731226,0,0.62,0,0,0,872,143
45,18,rn,repeat,C,ok,1,1,1,0,10.2723180000321,0.7823402910144068,9.486862584017217,0.0,25335,21760,22,,
46,18,rn,repeat,A,ok,1,1,1,0,9.507983667019289,0,9.506287042051554,,25308,19200,25,0,0
46,18,rn,repeat,B,error,0,0,0,0,0.8255289579974487,0.8248534169979393,0,0.0,0,0,0,,
46,18,rn,repeat,C,ok,1,1,1,0,16.08903095801361,1.034358291013632,15.05148216697853,0.0,25338,21760,25,,
46,18,rn,repeat,A,ok,1,1,1,0,8.289856458024587,0,8.287972749967594,,25308,0,25,0,0
46,18,rn,repeat,B,ok,1,1,1,0,0.9238363749464042,0.9225219159852713,0,0.4,0,0,0,885,146
46,18,rn,repeat,C,ok,1,1,1,0,10.105892417021096,0.9081471250392497,9.195880833023693,0.47,25355,0,25,885,146
47,18,rn,repeat,A,ok,1,1,1,0,9.806234750023577,0,9.804908999998588,,25334,21760,25,0,0
47,18,rn,repeat,B,ok,1,1,1,0,1.0518067499506287,1.0510257079731673,0,0.85,0,0,0,931,146
47,18,rn,repeat,C,ok,1,1,1,1,1.0957855840097181,1.095232332998421,0,0.86,0,0,0,931,146
47,18,rn,repeat,A,ok,1,1,1,0,9.233298500010278,0,9.23112841596594,,25334,21760,25,0,0
47,18,rn,repeat,B,ok,1,1,1,0,1.0260611669509672,1.0255117079941556,0,0.87,0,0,0,931,146
47,18,rn,repeat,C,ok,1,1,1,1,1.0301198340021074,1.0288752909982577,0,0.84,0,0,0,931,146
48,18,rn,repeat,A,ok,1,1,1,0,8.404951542033814,0,8.40291879203869,,25302,0,21,0,0
